image,name,range,effeciency,battery,price
https://ev-database.org/img/auto/Mercedes_EQB_2024/Mercedes_EQB_2024-01-thumb.jpg,Mercedes-BenzEQB,345 km,193 Wh/km,66.5 kWh,"£56,810"
https://ev-database.org/img/auto/Kia_EV6_2024/Kia_EV6_2024-01-thumb.jpg,KiaEV6,345 km,174 Wh/km,60.0 kWh,"€44,990"
https://ev-database.org/img/auto/Volkswagen_ID7_Tourer/Volkswagen_ID7_Tourer-01-thumb.jpg,VolkswagenID.7,470 km,164 Wh/km,77.0 kWh,"€54,905"
https://ev-database.org/img/auto/Polestar_5/Polestar_5-01-thumb.jpg,Polestar5,530 km,200 Wh/km,106.0 kWh,"€141,600"
https://ev-database.org/img/auto/Alpine_A390_2026/Alpine_A390_2026-01-thumb.jpg,AlpineA390,470 km,189 Wh/km,89.0 kWh,"€67,500"
https://ev-database.org/img/auto/Porsche_Cayenne_Turbo_2026/Porsche_Cayenne_Turbo_2026-01-thumb.jpg,PorscheCayenne,495 km,218 Wh/km,108.0 kWh,"€165,500"
https://ev-database.org/img/auto/Audi_e-tron_GT_RS_2025/Audi_e-tron_GT_RS_2025-01-thumb.jpg,Audie-tron,525 km,185 Wh/km,97.0 kWh,"€147,500"
https://ev-database.org/img/auto/Renault_Megane_ETech/Renault_Megane_ETech-01-thumb.jpg,RenaultMegane,380 km,158 Wh/km,60.0 kWh,"€36,490"
https://ev-database.org/img/auto/Skoda_Elroq_RS_2025/Skoda_Elroq_RS_2025-01-thumb.jpg,ŠkodaElroq,455 km,174 Wh/km,79.0 kWh,"€53,050"
https://ev-database.org/img/auto/Audi_e-tron_GT_RS_Performance_2025/Audi_e-tron_GT_RS_Performance_2025-01-thumb.jpg,Audie-tron,525 km,185 Wh/km,97.0 kWh,"€160,500"
https://ev-database.org/img/auto/TOGG_T10X/TOGG_T10X-01-thumb.jpg,TOGGT10X,265 km,189 Wh/km,50.0 kWh,"€34,295"
https://ev-database.org/img/auto/Skywell_BE11_2024/Skywell_BE11_2024-01-thumb.jpg,SkywellBE11,385 km,210 Wh/km,81.0 kWh,"£39,995"
